CensusTract,Indicator,All_households_%,All_households_#,All_households_$
9330200,High home energy cost burden 6%+,0.102844639,235,
9330200,Very high home energy cost burden 10%+,0.054704595,125,
9330200,Extreme home energy cost burden 15%+,0.028446389,65,
9330200,Low home energy cost burden <3%,0.638949672,1460,
9330200,Moderate home energy cost burden 3-6%,0.260393873,595,
9330200,Median home energy expenditure,,,1746
9330200,Median household after-tax income,,,89191
9330200,Households with income below the after-tax Low Income Measure,0.087527352,200,
9330200,Renter households,0.126914661,290,
9330200,Owner households,0.873085339,1995,
9330200,Households in subsidized housing,0.006564551,15,
9330200,Rental housing affordability - Spending 30%+,0.050328228,115,
9330200,Homeowner affordability - Spending 30%+,0.212253829,485,
9330200,Households in core housing need,0.087527352,200,
9330200,Housing condition - Major repairs,0.024070022,55,
9330200,Age of housing - Dwellings built before 1991,0.144420131,330,
9330200,Households in single detached dwellings,0.308533917,705,
9330200,Households in a building that has 5 or more storeys,0,0,
9330200,Households in a building that has fewer than 5 storeys,0.271334792,620,
9330200,Recent immigrant households,0.089519651,205,
9330200,Visible minority households,0.637554585,1460,
9330200,Indigenous households,0.028384279,65,
9330200,Speaking neither English nor French,0.22489083,515,
9330200,Senior households,0.211790393,485,
9330200,Lone parent households,0.061135371,140,
9330201,High home energy cost burden 6%+,0.265957447,125,
9330201,Very high home energy cost burden 10%+,0.117021277,55,
9330201,Extreme home energy cost burden 15%+,0.074468085,35,
9330201,Low home energy cost burden <3%,0.404255319,190,
9330201,Moderate home energy cost burden 3-6%,0.319148936,150,
9330201,Median home energy expenditure,,,2247
9330201,Median household after-tax income,,,70993
9330201,Households with income below the after-tax Low Income Measure,0.127659574,60,
9330201,Renter households,0.191489362,90,
9330201,Owner households,0.79787234,375,
9330201,Households in subsidized housing,0,0,
9330201,Rental housing affordability - Spending 30%+,0.074468085,35,
9330201,Homeowner affordability - Spending 30%+,0.212765957,100,
9330201,Households in core housing need,0.117021277,55,
9330201,Housing condition - Major repairs,0.074468085,35,
9330201,Age of housing - Dwellings built before 1991,0.691489362,325,
9330201,Households in single detached dwellings,0.478723404,225,
9330201,Households in a building that has 5 or more storeys,0,0,
9330201,Households in a building that has fewer than 5 storeys,0.074468085,35,
9330201,Recent immigrant households,0.074468085,35,
9330201,Visible minority households,0.462365591,215,
9330201,Indigenous households,0.053763441,25,
9330201,Speaking neither English nor French,0.14893617,70,
9330201,Senior households,0.287234043,135,
9330201,Lone parent households,0.086021505,40,
9330202,High home energy cost burden 6%+,0.093601896,395,
9330202,Very high home energy cost burden 10%+,0.045023697,190,
9330202,Extreme home energy cost burden 15%+,0.037914692,160,
9330202,Low home energy cost burden <3%,0.755924171,3190,
9330202,Moderate home energy cost burden 3-6%,0.150473934,635,
9330202,Median home energy expenditure,,,802
9330202,Median household after-tax income,,,60875
9330202,Households with income below the after-tax Low Income Measure,0.162322275,685,
9330202,Renter households,0.319905213,1350,
9330202,Owner households,0.678909953,2865,
9330202,Households in subsidized housing,0.037914692,160,
9330202,Rental housing affordability - Spending 30%+,0.133886256,565,
9330202,Homeowner affordability - Spending 30%+,0.16943128,715,
9330202,Households in core housing need,0.1492891,630,
9330202,Housing condition - Major repairs,0.06042654,255,
9330202,Age of housing - Dwellings built before 1991,0.36492891,1540,
9330202,Households in single detached dwellings,0.008293839,35,
9330202,Households in a building that has 5 or more storeys,0.656398104,2770,
9330202,Households in a building that has fewer than 5 storeys,0.251184834,1060,
9330202,Recent immigrant households,0.049763033,210,
9330202,Visible minority households,0.38507109,1625,
9330202,Indigenous households,0.03436019,145,
9330202,Speaking neither English nor French,0.120853081,510,
9330202,Senior households,0.253554502,1070,
9330202,Lone parent households,0.067535545,285,
9330203,High home energy cost burden 6%+,0.113074205,160,
9330203,Very high home energy cost burden 10%+,0.060070671,85,
9330203,Extreme home energy cost burden 15%+,0.03180212,45,
9330203,Low home energy cost burden <3%,0.600706714,850,
9330203,Moderate home energy cost burden 3-6%,0.286219081,405,
9330203,Median home energy expenditure,,,2096
9330203,Median household after-tax income,,,89902
9330203,Households with income below the after-tax Low Income Measure,0.106007067,150,
9330203,Renter households,0.208480565,295,
9330203,Owner households,0.795053004,1125,
9330203,Households in subsidized housing,0.010600707,15,
9330203,Rental housing affordability - Spending 30%+,0.06360424,90,
9330203,Homeowner affordability - Spending 30%+,0.144876325,205,
9330203,Households in core housing need,0.09540636,135,
9330203,Housing condition - Major repairs,0.074204947,105,
9330203,Age of housing - Dwellings built before 1991,0.826855124,1170,
9330203,Households in single detached dwellings,0.498233216,705,
9330203,Households in a building that has 5 or more storeys,0.03180212,45,
9330203,Households in a building that has fewer than 5 storeys,0.123674912,175,
9330203,Recent immigrant households,0.035335689,50,
9330203,Visible minority households,0.39084507,555,
9330203,Indigenous households,0.035335689,50,
9330203,Speaking neither English nor French,0.116197183,165,
9330203,Senior households,0.275618375,390,
9330203,Lone parent households,0.045936396,65,
9330204.01,High home energy cost burden 6%+,0.064876957,145,
9330204.01,Very high home energy cost burden 10%+,0.042505593,95,
9330204.01,Extreme home energy cost burden 15%+,0.029082774,65,
9330204.01,Low home energy cost burden <3%,0.780760626,1745,
9330204.01,Moderate home energy cost burden 3-6%,0.154362416,345,
9330204.01,Median home energy expenditure,,,549
9330204.01,Median household after-tax income,,,48317
9330204.01,Households with income below the after-tax Low Income Measure,0.237136465,530,
9330204.01,Renter households,0.617449664,1380,
9330204.01,Owner households,0.382550336,855,
9330204.01,Households in subsidized housing,0.055928412,125,
9330204.01,Rental housing affordability - Spending 30%+,0.266219239,595,
9330204.01,Homeowner affordability - Spending 30%+,0.093959732,210,
9330204.01,Households in core housing need,0.268456376,600,
9330204.01,Housing condition - Major repairs,0.11409396,255,
9330204.01,Age of housing - Dwellings built before 1991,0.796420582,1780,
9330204.01,Households in single detached dwellings,0.060402685,135,
9330204.01,Households in a building that has 5 or more storeys,0.214765101,480,
9330204.01,Households in a building that has fewer than 5 storeys,0.637583893,1425,
