Apartkey,bill_code,category,AccountKey,Meter_Reads_2019,kWh_2019,Meter_Reads_2020,kWh_2020,Meter_Reads_2021,kWh_2021,Total_Meter_Reads,Total_kWh,Exclude_Reason,Neighbourhood,LANDUSE,ZONECAT,CensusTract,LandUseCategory,Manual Class Description,DecadeEffective,DecadeBuilt,Heating Type,SqrFeet,Apartment - Number of 1 Bedroom Units,Apartment - Number of 2 Bedroom Units,Apartment - Number of 3 Bedroom Units,Apartment - Number of 4 Bedroom Units,Apartment - Number of Bachelor Units,Apartment - Number of Units,Tenure,TypeofDwelling,Number_Utility_Accounts,Total_Building_kWh_2019,Total_Building_kWh_2020,Total_Building_kWh_2021,Total_Building_kwh
-6815777949959864761,202   ,CR,207106523809576260,12,0,12,0,12,30,36,30,,UPTOWN,MF - HIGH RISE,APARTMENT (HIGH RISE),9330205.0199999996,MF - HIGH RISE,APARTMENT (HIGH RISE),1961 to 1970,1961 to 1970,Hot Water,105600,40,43,3,0,0,86,11-15 Years,Apartment Building,94,311437,334743,378701,1024881
-6657222023548652728,202   ,CR,506056515065204040,12,144680,12,140920,12,149240,36,434840,,UPTOWN,MF - HIGH RISE,APARTMENT (HIGH RISE),9330205.0199999996,MF - HIGH RISE,APARTMENT (HIGH RISE),1961 to 1970,1961 to 1970,Hot Water,129600,76,12,6,0,0,94,20+ Years,Apartment Building,104,331320,361049,403713,1096082
-8405682908093506737,202   ,CR,5457954326361132362,12,61296,12,65244,12,56967,36,183507,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1971 to 1980,1971 to 1980,Hot Water,59500,40,11,0,0,0,51,6-10 Years,Apartment Building,62,123878,144659,168842,437379
-3565632782321348274,202   ,CR,-4021344515998309819,12,168000,12,159960,12,155440,36,483400,,UPTOWN,MF - HIGH RISE,APARTMENT (HIGH RISE),9330205.0199999996,MF - HIGH RISE,APARTMENT (HIGH RISE),1971 to 1980,1971 to 1980,Hot Water,128700,61,35,0,0,11,107,20+ Years,Apartment Building,116,314242,331134,361654,1007030
1209222719095617605,202   ,CR,892029193087650369,12,39043,12,42800,12,43610,36,125453,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,62000,47,7,3,0,4,61,6-10 Years,Apartment Building,64,152883,166981,209034,528898
4907851228911117641,202   ,CR,8777328427632247617,12,13277,12,12759,12,14398,36,40434,,UPTOWN,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330205.0099999998,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,14500,9,9,2,0,1,21,20+ Years,Apartment Building,24,37679,46535,60983,145197
-3288207152214988983,202   ,CR,-4827096312554696626,13,48950,12,49011,11,39557,36,137518,,WESTEND,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330203,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1951 to 1960,1951 to 1960,Hot Water,28200,14,9,2,0,16,41,6-10 Years,Apartment Building,45,136192,145366,136817,418375
6362657902458591552,202   ,CR,-5869617169382120891,12,129600,12,133400,12,140160,36,403160,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,119100,49,59,0,0,0,108,6-10 Years,Apartment Building,120,299256,347128,416684,1063068
10500975287706702,202   ,CR,238285170966948935,12,21506,12,21750,12,20443,36,63699,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,20800,19,2,2,0,2,25,5 or less years,Apartment Building,33,59483,68009,76843,204335
-7611592126648131253,202   ,CR,-2941593726665018810,13,91860,12,84900,12,85380,37,262140,,VICTORY HEIGHTS,MF - HIGH RISE,APARTMENT (HIGH RISE),9330209,MF - HIGH RISE,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water Radiant,56200,16,18,12,0,0,46,20+ Years,Apartment Building,46,198340,214015,247389,659744
-181734061609004220,202   ,CR,1416854428614090057,12,20348,12,20396,12,20918,36,61662,,UPTOWN,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330205.0099999998,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,25200,18,0,0,0,3,21,5 or less years,Apartment Building,22,44776,53465,56903,155144
-310811224950538430,202   ,CR,-5435186322798800050,12,32611,12,31926,12,26689,36,91226,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,31100,32,10,0,0,0,42,16-20 Years,Apartment Building,44,109957,117174,122602,349733
3369239825171658063,202   ,CR,4483213907691611201,12,53605,12,56818,12,56701,36,167124,,UPTOWN,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330205.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1971 to 1980,1971 to 1980,Hot Water,97800,32,14,0,0,52,98,20+ Years,Apartment Building,104,179046,203070,241235,623351
5182735520802501455,202   ,CR,-6566328753187327420,12,46822,12,40959,12,40442,36,128223,,BROW OF THE HILL,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330204.0199999996,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,50800,34,12,0,0,1,47,6-10 Years,Apartment Building,58,98458,110105,134163,342726
-8872860262245319358,202   ,CR,4462922941246667588,12,46496,12,50667,12,51521,36,148684,,SAPPERTON,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330210,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,44500,46,9,0,0,5,60,6-10 Years,Apartment Building,63,131509,161703,191309,484521
-6819776974355556788,202   ,CR,4661470032693727823,11,65414,12,52485,12,47886,35,165785,,UPTOWN,MF - APARTMENT BLOCK,APARTMENT (LOW RISE),9330205.0099999998,MF - APARTMENT BLOCK,APARTMENT - OWNER PAYS HEAT,1961 to 1970,1961 to 1970,Hot Water,68800,42,14,1,0,6,63,16-20 Years,Apartment Building,68,161303,174943,186441,522687
