PropKey,AccountKey,tenant_owner,bill_code,start_date,end_date,Meter_Reads_2019,kWh_2019,Meter_Reads_2020,kWh_2020,Meter_Reads_2021,kWh_2021,Total_Meter_Reads,Total_kWh,category,NGBRHOOD,ZONECAT,CensusTract,DecadeEffective,DecadeBuilt,Foundation,Heating_Type,Sqrfeet,Number_of_2Piece_Baths,Number_of_3Piece_Baths,Number_of_Full_Baths,Number_of_Bedrooms,Number_of_Storeys,Pool,Tenure,TypeofDwelling,BuildingKey,Storey_Desc,Build
4812083466761064011,-7964294192930844083,T,101   ,10/16/2013 0:00:00,,6,2872,6,3367,6,2820,18,9059,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,1000,0,0,1,2,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
6966047474050277710,2244244145509942349,T,101   ,7/26/1996 0:00:00,,6,705,6,588,6,627,18,1920,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
-310283461591483067,-4615939814690375351,T,101   ,6/1/2008 0:00:00,,6,1411,6,1635,6,2201,18,5247,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,11-15 Years,CONDO,6270876491044223819,, HI-RISE
-4301381477050715830,-2651037985577062336,T,101   ,11/27/2018 0:00:00,,6,4054,6,3143,6,3988,18,11185,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,1000,0,0,1,2,0,,5 or less years,CONDO,6270876491044223819,, HI-RISE
-4839738663041641662,-6285327008781604793,T,101   ,5/29/2006 0:00:00,,6,2416,6,2390,6,2374,18,7180,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,16-20 Years,CONDO,6270876491044223819,, HI-RISE
-1799881450723459004,7724067996037098049,T,101   ,12/16/2007 0:00:00,,6,1953,6,1676,8,1737,20,5366,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,800,0,0,1,1,0,,11-15 Years,CONDO,6270876491044223819,, HI-RISE
7544839220766300743,7294167826024774211,T,101   ,8/28/2006 0:00:00,,6,2243,6,2586,6,2352,18,7181,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,16-20 Years,CONDO,6270876491044223819,, HI-RISE
944230734737971277,8881591118736153675,T,101   ,4/2/2016 0:00:00,,6,3923,6,4434,6,5197,18,13554,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,1000,0,0,1,2,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
-1401179722984741302,6371385220398401351,T,101   ,11/12/2015 0:00:00,,6,1238,6,1355,8,1153,20,3746,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
-693287020130386874,6919645479268223557,T,101   ,1/19/2008 0:00:00,,6,1853,6,1821,6,1783,18,5457,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,11-15 Years,CONDO,6270876491044223819,, HI-RISE
7107277170847545157,33426027152927307,T,101   ,10/31/1992 0:00:00,,6,2513,6,2137,6,1307,18,5957,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,800,0,0,1,1,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
-8270716648577875377,-1383259356957682364,T,101   ,5/31/1992 0:00:00,,6,1397,6,1775,6,1366,18,4538,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,800,0,0,1,1,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
-2041641310957146037,-1783994492455984822,T,101   ,1/27/1995 0:00:00,,6,2329,6,1927,6,2048,18,6304,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
-3409497983473832885,6054221239188014415,T,101   ,5/30/1993 0:00:00,,6,1831,6,1842,6,2269,18,5942,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,1000,0,0,1,2,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
3686571303633284428,-2756146936574069171,T,101   ,12/1/2011 0:00:00,,6,1568,6,1762,6,1473,18,4803,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,11-15 Years,CONDO,6270876491044223819,, HI-RISE
5483035033227899980,524390070294673985,T,101   ,12/3/1990 0:00:00,,6,2625,6,2723,6,2697,18,8045,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,20+ Years,CONDO,6270876491044223819,, HI-RISE
-2369931185044104114,-6067249683703898304,T,101   ,10/29/1997 0:00:00,,6,4304,6,4658,6,4661,18,13623,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,1000,0,0,1,2,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
3311066870771707981,7403674078702251593,T,101   ,2/14/2016 0:00:00,,6,2150,6,2268,6,2330,18,6748,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
-2496322130876150711,6279414788667174216,T,101   ,6/17/2016 0:00:00,,6,1171,6,960,6,953,18,3084,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,700,0,0,1,1,0,,6-10 Years,CONDO,6270876491044223819,, HI-RISE
-549846356613751228,6614481668489537099,T,101   ,12/1/2009 0:00:00,,6,1836,6,1858,6,1645,18,5339,RE,DOWNTOWN,APARTMENT (HIGH RISE),9330207,1971 to 1980,1971 to 1980,,,600,0,0,1,1,0,,11-15 Years,CONDO,6270876491044223819,, HI-RISE
5086097984564096579,-2005688176481210292,T,101   ,6/30/2018 0:00:00,,6,4466,6,6084,6,7559,18,18109,RE,QUEENS PARK,SINGLE DETACHED,9330205.0099999998,1971 to 1980,Before 1921,Partial Basement,,5000,1,0,4,5,2,,5 or less years,SINGLE FAMILY,,2 STY SFD , BEFORE 1930 - STD
7753634342955455818,1596543206045128769,T,101   ,7/31/2017 0:00:00,,6,13161,6,8723,6,9247,18,31131,RE,QUEENS PARK,SINGLE DETACHED,9330205.0099999998,1971 to 1980,1931 to 1940,Basement,,3200,1,0,2,4,1.5,,5 or less years,SINGLE FAMILY,,1 1/2 STY SFD , BEFORE 1930 - FAIR
