EVAL_ID,BUILDINGTYPE,CLIENTCITY,ClientPcode,EntrydateD,COMMONHEATEDFLOORAREA,COMMONSPACEELECCONS,DECADEBUILT,EGHFCONELEC,EGHFCONNGAS,EGHFCONOIL,EGHFCONPROP,EGHFCONTOTAL,EGHFCONWOOD,EGHFURNACEAEC,EGHHEATFCONSE,EGHHEATFCONSG,EGHHEATFCONSO,EGHHEATFCONSP,EGHHEATFCONSW,EGHRATING,EGHSPACEENERGY,ELECAUTOCHRGSTATION,ERSELECGHG,ERSGHG,ERSLIGHTAPPLIANCEENERGY,ERSNGASGHG,ERSOILGHG,ERSOTHERELECENERGY,ERSPROPGHG,ERSRATING,ERSSPACECOOLENERGY,ERSVENTILATIONENERGY,ERSWATERHEATINGENERGY,ERSWOODGHG,FLOORAREA,FURNACEFUEL,HEATEDFLOORAREA,INDFURNACEFUEL,INDFURNACETYPE,NUMDWELLINGUNITS,PDHWFUEL,TOTALOCCUPANTS,TYPEOFHOUSE,YEARBUILT,EGHFCONELEC_POST,EGHFCONNGAS_POST,EGHFCONOIL_POST,EGHFCONPROP_POST,EGHFCONTOTAL_POST,EGHFCONWOOD_POST,EGHFURNACEAEC_POST,EGHHEATFCONSE_POST,EGHHEATFCONSG_POST,EGHHEATFCONSO_POST,EGHHEATFCONSP_POST,EGHHEATFCONSW_POST,EGHRATING_POST,EGHSPACEENERGY_POST,ELECAUTOCHRGSTATION_POST,EntrydateE,ERSELECGHG_POST,ERSGHG_POST,ERSLIGHTAPPLIANCEENERGY_POST,ERSNGASGHG_POST,ERSOILGHG_POST,ERSOTHERELECENERGY_POST,ERSPROPGHG_POST,ERSRATING_POST,ERSSPACECOOLENERGY_POST,ERSVENTILATIONENERGY_POST,ERSWATERHEATINGENERGY_POST,ERSWOODGHG_POST,FLOORAREA_POST,FURNACEFUEL_POST,HEATEDFLOORAREA_POST,INDFURNACEFUEL_POST,INDFURNACETYPE_POST,PDHWFUEL_POST,PROGRAMNAME
1512632,House,Richmond,V6X,2017,,,1990,7410.1,2711.1,0,0,127688.2,0,73112.6,885,79573,0,0,0,0,80457.6,,0.2,5.4,11694.2,5.2,0,13928.4,0,128,0,169,21439.3,0,271.6,Natural Gas,264.9,,,,Natural gas,3,Single Detached,1991,7312.7,1783.6,0,0,92780.6,0,38555.4,703,45016,0,0,0,0,45718.8,,2017,0.2,3.6,11694.2,3.4,0,13928.4,0,93,0,0,21439.3,0,271.6,Natural Gas,264.9,,,Natural gas,HOT2000 11.4
1469604,House,Surrey,V4N,2016,,,1980,7767.2,4449.4,0,0,193741,0,136169.7,2170,142630,0,0,0,0,144800.1,,0.2,8.8,11694.2,8.6,0,13928.4,0,194,0,169,23149.6,0,385.9,Natural Gas,363.4,,,,Natural gas,3,Single Detached,1981,7738.2,2894.1,0,0,135689.4,0,94525.8,227,94526,0,0,0,0,94753.2,,2017,0.2,5.8,11694.2,5.6,0,13928.4,0,136,1838.4,169,13306.4,0,384.4,Natural Gas,363.4,,,Natural gas,HOT2000 11.4
1468958,,North Vancouver,V7R,2017,,,1950,7510.1,3640.1,0,0,162662,0,104901.4,1245,111362,0,0,0,0,112606.4,,0.2,7.2,11694.2,7,0,13928.4,0,163,0,169,24264.3,0,214,Natural Gas,221.94,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1954,8055.4,1269.7,0,0,76307.9,0,34250.5,53,34250,0,0,0,0,34303.9,,2017,0.2,2.6,11694.2,2.4,0,13928.4,0,76,2995.1,328.1,13058.2,0,214,Natural Gas,221.94,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1466595,,Vancouver,V5K,2016,,,1920,7707.8,4009.9,0,0,177153.7,0,125250.6,1996,125250,0,0,0,0,127246.8,,0.2,7.9,11694.2,7.7,0,13928.4,0,177,0,129.4,24155.2,0,160.6,Natural Gas,160.2,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1929,7523.8,2779.4,0,0,130643.8,0,83683.9,1334,83684,0,0,0,0,85017.6,,2017,0.2,5.5,11694.2,5.4,0,13928.4,0,131,0,129.4,19874.4,0,160.6,Natural Gas,160.2,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1496872,,Richmond,V7C,2017,,,1990,8899.1,3314.7,0,0,155537,0,99357,1215,99357,0,0,0,0,100571.8,,0.2,6.6,11694.2,6.4,0,13928.4,0,156,5030.3,169,24143.6,0,202.7,Natural Gas,197.3,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1993,8908.9,2170.7,0,0,112951.5,0,61015.7,1125,61016,0,0,0,0,62140.3,,2017,0.2,4.4,11694.2,4.2,0,13928.4,0,113,5155.8,169,19864,0,202.7,Natural Gas,197.3,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1550533,,Surrey,V3S,2016,0,0,1980,7538.4,4032.8,0,0,177394.6,0,112980.2,1347,125901,0,0,0,0,127247.5,,0.2,7.9,11694.2,7.8,0,13928.4,0,177,0,169,24355.8,0,242.4,Natural Gas,273.41,Electricity,Baseboard/Hydronic/Plenum,0,Natural gas,3,Single Detached,1988,7207.6,2102.8,0,0,104296.4,0,47655,156,54115,0,0,0,0,54271,,2018,0.2,4.2,11694.2,4.1,0,13928.4,0,104,0,169,24234,0,242.4,Natural Gas,273.41,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1420419,House,Vancouver,V6M,2016,0,0,1920,7776.7,3042.9,0,0,141370.3,0,89275.2,1114,89275,0,0,0,0,90389,F,0.2,6.1,11694.2,5.9,0,13928.4,0,141,0,1259.7,24099.2,0,255,Natural Gas,354.3,,,1,Natural gas,3,Single Detached,1923,8939.2,1546.4,0,0,89796.8,0,41023.5,756,41023,0,0,0,0,41779.6,F,2018,0.2,3.2,11694.2,3,0,13928.4,0,90,3716,2086.4,16592.3,0,401.9,Natural Gas,354.3,,,Natural gas,HOT2000 11.4
1455291,,SURREY,V4A,2016,,,1980,7993.2,3840.4,0,0,171864.7,0,112058.2,1739,118518,0,0,0,0,120257.7,,0.2,7.6,11694.2,7.4,0,13928.4,0,172,0,1413.9,24570.8,0,167.2,Natural Gas,344.67,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1983,7963.7,3536.6,0,0,160440.1,0,105210.9,1633,111671,0,0,0,0,113304.2,,2016,0.2,7,11694.2,6.8,0,13928.4,0,160,0,1413.9,20099.7,0,167.2,Natural Gas,344.67,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455928,,SURREY,V3E,2016,,,1980,8252.2,5767.8,0,0,244609.9,0,190355.5,2954,190355,0,0,0,0,193309.8,,0.2,11.3,11694.2,11.1,0,13928.4,0,245,0,1131.1,24546.9,0,192.6,Natural Gas,360.93,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1980,7892.3,4486.1,0,0,195557.9,0,142586.4,1658,142586,0,0,0,0,144244.9,,2016,0.2,8.8,11694.2,8.6,0,13928.4,0,196,0,1131.1,24559.7,0,192.6,Natural Gas,360.93,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455930,,RICHMOND,V6Y,2016,,,1990,7841.3,3363.6,0,0,153554.4,0,94710.4,1192,101171,0,0,0,0,102363,,0.2,6.6,11694.2,6.5,0,13928.4,0,154,0,1413.9,24155.2,0,181.6,Natural Gas,141.21,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,"Row, end unit",1991,7775.5,1919.6,0,0,99514.8,0,51840.8,955,58301,0,0,0,0,59256.5,,2016,0.2,3.9,11694.2,3.7,0,13928.4,0,100,0,1413.9,13221.9,0,181.6,Natural Gas,141.21,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
